latitude,longitude
5.594695399999999808e+01,-3.197683000000000053e+00
5.595140200000000164e+01,-3.185013999999999790e+00
5.595199999999999818e+01,-3.198199999999999932e+00
5.595067199999999730e+01,-3.184985999999999873e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.594695399999999808e+01,-3.197683000000000053e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.595109999999999673e+01,-3.190770000000000106e+00
5.595049699999999859e+01,-3.174447999999999936e+00
5.594963200000000114e+01,-3.205083999999999822e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.594963200000000114e+01,-3.205083999999999822e+00
5.595049699999999859e+01,-3.174447999999999936e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.594700000000000273e+01,-3.189200000000000035e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.593982799999999855e+01,-3.182259000000000171e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.595591999999999899e+01,-3.199561999999999795e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.595848999999999762e+01,-3.186326000000000214e+00
5.595376600000000167e+01,-3.189315000000000122e+00
5.593370000000000175e+01,-3.209700000000000220e+00
5.595129399999999720e+01,-3.189456999999999987e+00
5.594980799999999732e+01,-3.208095999999999837e+00
5.595043600000000339e+01,-3.184172999999999920e+00
5.594729999999999848e+01,-3.191640000000000033e+00
5.595043600000000339e+01,-3.184172999999999920e+00
5.595580600000000260e+01,-3.192318000000000211e+00
5.594593499999999864e+01,-3.206226000000000020e+00
5.594593499999999864e+01,-3.206226000000000020e+00
5.594695399999999808e+01,-3.197683000000000053e+00
5.595140200000000164e+01,-3.185013999999999790e+00
5.595199999999999818e+01,-3.198199999999999932e+00
5.596880000000000166e+01,-3.278999999999999915e+00
5.595067199999999730e+01,-3.184985999999999873e+00
5.595672600000000330e+01,-3.209197000000000077e+00
5.595049699999999859e+01,-3.174447999999999936e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.594963200000000114e+01,-3.205083999999999822e+00
5.594700000000000273e+01,-3.189200000000000035e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.595049699999999859e+01,-3.174447999999999936e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.595109999999999673e+01,-3.190770000000000106e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.595179999999999865e+01,-3.196400000000000130e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.596670000000000300e+01,-3.205000000000000071e+00
5.590052200000000227e+01,-3.423370999999999942e+00
5.594695399999999808e+01,-3.197683000000000053e+00
5.590052200000000227e+01,-3.423370999999999942e+00
